Gene1	Gene2	EdgeWeight
g1	g5	6.0
g2	g9	6.0
g2	g7	1.5
g1	g3	1.5
g2	g3	0.66666
g2	g4	0.66666
g3	g7	0.375
g1	g4	0.375
g3	g9	0.24
g8	g4	0.16666
g2	g6	0.16666
g1	g6	0.12244000000000001
g1	g10	0.12244000000000001
g3	g6	0.09375
g3	g5	0.07407000000000001
g7	g3	0.07407000000000001
g9	g5	0.06
g2	g5	0.04958
g1	g7	0.04958
g8	g5	0.04166
g8	g6	0.04166
g9	g6	0.0355
g3	g8	0.030610000000000002
g4	g5	0.030610000000000002
g8	g7	0.02343
g10	g6	0.02343
g2	g8	0.02076
g11	g5	0.01851
g8	g11	0.01662
g1	g9	0.01662
g3	g11	0.015
g11	g10	0.01239
g9	g11	0.01239
g10	g3	0.011340000000000001
g9	g4	0.010409999999999999
g11	g9	0.0096
g11	g6	0.0096
g11	g7	0.008870000000000001
g11	g3	0.00823
g10	g5	0.00823
g1	g11	0.00765
g11	g4	0.00765
g1	g8	0.00713
g7	g10	0.00713
g8	g9	0.006659999999999999
g10	g4	0.00624
g5	g7	0.00585
g9	g3	0.00585
g3	g1	0.0055
g6	g4	0.0055
g5	g4	0.00519
g4	g7	0.00489
g6	g5	0.00462
g3	g4	0.00415
g10	g8	0.00415
g6	g7	0.00394
g4	g3	0.00375
g4	g9	0.00324
g9	g10	0.00324
g9	g8	0.00309
g5	g9	0.00283
g6	g9	0.00271
g4	g6	0.0026
g5	g8	0.0024
g7	g4	0.0024
g7	g9	0.0023
g5	g11	0.00221
g5	g11	0.00221
g8	g10	0.00213
g6	g10	0.00205
g6	g3	0.00205
g4	g10	0.00198
g10	g11	0.0018399999999999998
g5	g10	0.0018399999999999998
g7	g5	0.0017800000000000001
g5	g3	0.00172
g11	g8	0.0016600000000000002
g10	g7	0.0016600000000000002
g4	g11	0.00151
g8	g3	0.00151
g7	g8	0.0014199999999999998
g3	g10	0.00137
g7	g6	0.00126
g2	g11	0.00122
g5	g6	0.00122
g2	g10	0.00119
g4	g1	0.00112
g6	g11	0.00112
g7	g1	0.00106
g10	g1	0.00103
g8	g1	0.00103
g9	g7	0.00101
g2	g1	0.0009599999999999999
g8	g2	0.0008900000000000001
g10	g9	0.00081
g7	g11	0.00079
g11	g1	0.00075
g5	g2	0.00066
g6	g8	0.00062
g9	g2	0.00061
g4	g8	0.0006
g5	g1	0.00058
