Regulator	Target	SINGE_Score
g1	g5	6
g1	g3	1.5
g2	g3	0.66666
g1	g4	0.375
g2	g7	0.24
g8	g4	0.16666
g1	g6	0.12244
g2	g6	0.09375
g7	g3	0.07407
g9	g5	0.06
g2	g5	0.04958
g8	g6	0.04166
g9	g6	0.0355
g4	g5	0.03061
g2	g9	0.02666
g10	g6	0.02343
g11	g5	0.01851
g8	g11	0.01662
g9	g11	0.01239
g10	g3	0.01134
g9	g4	0.01041
g11	g6	0.0096
g11	g7	0.00887
g11	g3	0.00823
g1	g11	0.00765
g7	g10	0.00713
g8	g9	0.00666
g10	g4	0.00624
g9	g3	0.00585
g6	g4	0.0055
g5	g4	0.00519
g3	g5	0.00489
g6	g5	0.00462
g10	g8	0.00415
g6	g7	0.00394
g4	g3	0.00375
g3	g7	0.00356
g9	g10	0.00324
g9	g8	0.00309
g11	g10	0.00296
g6	g9	0.00271
g4	g6	0.0026
g11	g4	0.00249
g7	g4	0.0024
g4	g7	0.0023
g5	g11	0.00221
g8	g10	0.00213
g6	g3	0.00205
g7	g9	0.00191
g10	g11	0.00184
g5	g3	0.00172
g10	g7	0.00166
g6	g10	0.00161
g8	g3	0.00151
g7	g5	0.00146
g7	g8	0.00142
g3	g10	0.00137
g8	g5	0.00129
g7	g6	0.00126
g2	g11	0.00122
g3	g4	0.00119
g2	g10	0.00115
g6	g11	0.00112
g5	g7	0.00109
g2	g8	0.00106
g10	g1	0.00103
g9	g7	0.00101
g11	g9	0.00098
g11	g8	0.00096
g3	g9	0.00091
g8	g2	0.00089
g2	g4	0.00087
g3	g8	0.00085
g5	g10	0.00083
g10	g9	0.00081
g7	g11	0.00079
g5	g6	0.00077
g11	g1	0.00075
g5	g8	0.00074
g4	g10	0.00072
g8	g7	0.0007
g3	g11	0.00069
g10	g5	0.00067
g5	g2	0.00066
g7	g1	0.00065
g3	g6	0.00063
g6	g8	0.00062
g9	g2	0.00061
g4	g8	0.0006
g5	g1	0.00058
g4	g11	0.00057
