Regulator	Target	SINGE_Score
g7	g8	6
g4	g8	1.5
g1	g8	0.66666
g6	g8	0.375
g6	g5	0.24
g2	g8	0.16666
g5	g2	0.12244
g6	g7	0.09375
g3	g8	0.07407
g2	g1	0.06
g5	g3	0.04958
g6	g3	0.0355
g1	g5	0.03061
g2	g5	0.02666
g7	g5	0.02343
g4	g5	0.02076
g7	g1	0.01851
g3	g5	0.015
g8	g7	0.0136
g5	g1	0.01239
g6	g2	0.01134
g2	g6	0.0096
g4	g7	0.00823
g7	g6	0.00765
g4	g3	0.00713
g3	g7	0.00666
g1	g3	0.00624
g5	g8	0.00585
g1	g2	0.0055
g1	g6	0.00519
g8	g6	0.00462
g6	g4	0.00438
g6	g1	0.00375
g7	g2	0.00356
g7	g4	0.0034
g3	g6	0.00324
g1	g4	0.00309
g5	g6	0.00296
g8	g1	0.00271
g5	g4	0.0026
g8	g2	0.00249
g5	g7	0.0024
g3	g1	0.0023
g4	g2	0.00221
g3	g4	0.00213
g7	g3	0.00205
g8	g3	0.00198
g2	g7	0.00191
