Gene1	Gene2	EdgeWeight
g1	g2	337.88510246064243
g3	g1	326.0129949072989
g1	g3	306.076543984223
g1	g4	182.24533917888488
g4	g1	150.69540934590754
g5	g4	131.46410795894926
g6	g4	123.72583281738848
g3	g2	121.41614194196434
g2	g3	120.4832000174654
g4	g5	115.45133539694737
g4	g2	110.35087653714714
g1	g5	109.12026767616379
g2	g4	102.87668919825386
g2	g1	101.45761230575977
g6	g2	93.71522756636564
g4	g6	91.21261346482369
g5	g1	82.11342215673847
g5	g2	79.88856890432879
g3	g4	73.16928827126493
g1	g6	71.53614061036377
g6	g1	70.29698571334228
g6	g5	67.2626580723321
g2	g5	65.54896420175803
g2	g6	62.19951579655604
g8	g2	52.242420945705106
g9	g2	51.6800964480398
g10	g2	51.64399731885947
g11	g2	47.00610389397774
g3	g5	44.28079752724561
g7	g2	39.17146398296959
g11	g4	38.74642445885927
g7	g4	36.13577287360392
g4	g3	34.71797539339392
g11	g1	33.69781524551995
g3	g6	32.82961083544214
g9	g1	30.360891780574786
g1	g11	26.541339142589422
g7	g5	24.893950486370173
g9	g5	24.788540126938962
g11	g3	24.50876478078416
g9	g4	23.92052063945472
g5	g6	23.503535333277327
g7	g1	23.172103386765965
g10	g1	23.090737353145947
g10	g4	22.95370201969695
g8	g3	22.689559349086018
g10	g5	21.88000023943727
g8	g1	21.102027804946324
g8	g5	20.436959287233513
g10	g3	20.22147918046427
g3	g11	19.872902536919
g11	g5	19.336526985573187
g9	g3	18.909179310633032
g8	g4	18.76232258364361
g7	g3	18.55947251934598
g5	g3	18.276976372733266
g3	g8	17.214524332430944
g4	g11	16.424012345679618
g3	g7	16.02274311556494
g6	g3	14.556849091871095
g9	g6	14.163596931526051
g11	g8	13.845341465579812
g1	g8	13.70447297465101
g2	g8	13.576812261473933
g7	g6	13.5421100253253
g4	g7	13.358263228872966
g3	g10	13.312065938569472
g1	g10	12.896926395133992
g1	g7	12.592116181658795
g1	g9	12.365170356475947
g7	g8	12.119721309319742
g2	g11	12.006703463207682
g11	g6	11.958242313808991
g10	g8	11.745410396649651
g2	g10	11.251060971311569
g6	g11	10.794021393875852
g10	g6	10.375838057578608
g11	g10	10.311791298943056
g9	g8	9.733145347684081
g3	g9	9.702366062042273
g5	g11	9.669644133694057
g5	g8	9.546646970076877
g8	g11	9.233347842125974
g10	g11	8.896331831985256
g6	g8	8.893219429586328
g8	g6	8.678796631298097
g4	g8	8.620705512547614
g2	g7	8.391785333258962
g5	g10	8.378150624948354
g2	g9	8.129756386641189
g4	g10	8.074325572456804
g4	g9	8.047191789626277
g5	g7	8.010228640159534
g9	g10	7.8023726102996624
g8	g10	7.4769503682614085
g10	g7	7.3856027126579775
g6	g9	7.0052714677021815
g6	g10	6.810762936420437
g9	g11	6.720745963184718
g7	g10	6.685593283655267
g8	g9	6.2736184173179455
g8	g7	6.133430317798463
g5	g9	5.955354244689012
g7	g11	5.8409513467384375
g11	g7	5.3024079324423
g6	g7	4.966147294512055
g9	g7	4.837275243074009
g7	g9	4.792042407153009
g11	g9	4.501517789697764
g10	g9	4.227711078654396
