TF	target	importance
x_g1	x_g3	215.15919538234076
x_g11	x_g2	186.77338787367717
x_g11	x_g3	166.00056956700777
x_g2	x_g8	154.98098150599657
x_g9	x_g8	148.08038524762486
x_g2	x_g11	146.1070735491735
x_g2	x_g3	143.85423149821568
x_g10	x_g1	143.74244652655898
x_g8	x_g4	137.38435573402077
x_g8	x_g9	134.26850655956977
x_g1	x_g2	134.17052726992503
x_g7	x_g5	134.0557757862725
x_g1	x_g8	132.918436964769
x_g6	x_g4	127.95307943221674
x_g1	x_g10	121.94625602715057
x_g9	x_g10	114.8726284824506
x_g1	x_g11	109.33163178091587
x_g4	x_g6	108.09031112531471
x_g5	x_g7	107.31492252399316
x_g9	x_g2	105.21811726495064
x_g9	x_g4	105.00976121316162
x_g8	x_g5	102.0237900756214
x_g2	x_g1	101.70737578885547
x_g10	x_g11	101.30977635186167
x_g10	x_g9	99.9027859395464
x_g11	x_g1	96.99258762740082
x_g10	x_g3	94.76086500343646
x_g1	x_g4	91.99644525976268
x_g9	x_g5	90.75341893827516
x_g1	x_g9	86.19320168776773
x_g9	x_g1	83.29816290544795
x_g9	x_g3	78.07720591866234
x_g1	x_g5	76.47336453759253
x_g10	x_g2	75.22911511755915
x_g5	x_g4	73.6761139695861
x_g1	x_g7	73.51090642774504
x_g11	x_g10	73.48237841810281
x_g8	x_g2	69.88113598520968
x_g8	x_g3	67.5811066661808
x_g8	x_g1	67.06818652491478
x_g1	x_g6	67.02842514835214
x_g10	x_g8	66.74166208307459
x_g4	x_g8	66.51458497020104
x_g2	x_g5	64.5917006881333
x_g2	x_g7	62.82046468714896
x_g4	x_g5	61.744320258974675
x_g2	x_g4	61.67486386625272
x_g6	x_g7	61.042415322738776
x_g9	x_g7	60.303236838170804
x_g2	x_g10	59.805708495617495
x_g9	x_g6	59.42624977235912
x_g10	x_g4	58.07395562287993
x_g5	x_g8	57.664404011196865
x_g6	x_g5	55.66493521742564
x_g2	x_g9	53.89731313086503
x_g2	x_g6	52.513892421430874
x_g8	x_g10	52.364205284099384
x_g3	x_g8	51.38827079106833
x_g3	x_g4	48.894401227472024
x_g7	x_g6	48.50047671723137
x_g3	x_g2	45.69451050092092
x_g9	x_g11	45.687331436064824
x_g10	x_g5	44.35461008721499
x_g3	x_g5	44.176163107096116
x_g4	x_g7	43.74113578948118
x_g10	x_g7	43.63710306083362
x_g3	x_g11	42.742780699785555
x_g7	x_g4	42.055472888685514
x_g11	x_g8	41.03151530439339
x_g10	x_g6	38.34644583797875
x_g5	x_g6	37.698649623142906
x_g11	x_g9	36.760512309593025
x_g11	x_g4	36.28155078596189
x_g3	x_g6	32.83306088520611
x_g4	x_g9	32.00966085537202
x_g11	x_g7	28.39924702842144
x_g5	x_g9	27.71968465434927
x_g8	x_g7	27.522102274979833
x_g8	x_g6	26.442114431258705
x_g3	x_g7	24.708466046487146
x_g6	x_g9	24.247619028049122
x_g4	x_g3	22.600827523484593
x_g11	x_g5	22.16192130339376
x_g8	x_g11	21.7017020321806
x_g3	x_g10	20.87808480957939
x_g7	x_g9	20.35082248565532
x_g3	x_g1	19.907341652280977
x_g3	x_g9	19.649893349232226
x_g11	x_g6	19.120374037725345
x_g5	x_g3	17.805850697267942
x_g6	x_g8	16.371599546159885
x_g6	x_g10	15.16416028633981
x_g7	x_g10	14.226548988292103
x_g7	x_g8	13.308159575515461
x_g7	x_g3	13.167795851044705
x_g4	x_g10	12.813089985753834
x_g4	x_g11	12.170873068771053
x_g6	x_g3	11.992351892358943
x_g5	x_g10	11.446939222614013
x_g6	x_g1	11.419145257371328
x_g4	x_g2	10.838684161723013
x_g7	x_g1	8.178121357940608
x_g7	x_g11	7.999930033922604
x_g7	x_g2	7.8597291126055095
x_g6	x_g2	7.632191309765309
x_g4	x_g1	7.630654456594539
x_g6	x_g11	7.4540080234901565
x_g5	x_g1	7.05597790263447
x_g5	x_g2	6.702601403663641
x_g5	x_g11	4.494893023834148
